Price,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Change
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-08-17,171.67108154296875,173.24468311255228,169.72374265981617,169.92044098012414,79542000,167.97166878836495,155.5490458170573,0.8784718053437057
2022-08-18,171.2776641845703,172.01529411647135,170.26465361199578,170.88426755707084,62290100,169.26849583217077,156.4670852661133,-0.22916926651969094
2022-08-19,168.69102478027344,170.87441022573427,168.48448182965225,170.1761140668042,70346300,169.5888388497489,157.27631276448568,-1.5102024053232577
2022-08-22,164.8061981201172,167.05842149370653,164.38328250419255,166.89122718275175,69026800,169.45957946777344,158.02708892822267,-2.3029243347216566
2022-08-23,164.47178649902344,165.92738691269662,163.90135093265715,164.32426652803133,54147100,168.7753404889788,158.73430582682292,-0.20291204148160658
2022-08-24,164.76681518554688,165.33725066099007,163.50792827667766,164.56028725907692,53841500,167.98010035923548,159.46347096761068,0.1793795111024732
2022-08-25,167.22557067871094,167.33375696920737,165.57328734070867,165.99618783539447,51218200,167.55859157017298,160.17703603108723,1.4922637731361155
2022-08-26,160.92132568359375,168.2287866440609,160.8623176958489,167.75670773498427,78961000,166.02291216169084,160.6248036702474,-3.7699049072043467
2022-08-29,158.71826171875,160.2131805859094,157.18399419307175,158.49204445005722,73314000,164.2287118094308,161.10062255859376,-1.3690317025945031
2022-08-30,156.28903198242188,159.8788249449609,155.11865676791015,159.45592432505862,77906200,162.45699855259485,161.36680704752604,-1.5305294488625054
2022-08-31,154.62684631347656,157.93142775321772,154.54816401644538,157.6658768766267,87991100,161.00280543736048,161.51080017089845,-1.0635331525581826
2022-09-01,155.3546905517578,155.8070951296429,152.11894582091065,154.05645479166745,74229900,159.7003631591797,161.60342966715496,0.47071013581023724
2022-09-02,153.24014282226562,157.71510032446895,152.41400097767612,157.11516076913463,76957800,158.05369567871094,161.6668243408203,-1.361109678750061
2022-09-06,151.98123168945312,154.49900548839526,151.1550899755094,153.8892363672152,73714800,155.87593296595983,161.72557576497397,-0.8215282951495539
2022-09-07,153.38766479492188,154.0859459351541,151.07641875135508,152.26646809885722,87449600,154.79969569614954,161.87540588378906,0.9253992021478918
2022-09-08,151.91241455078125,153.78107082360773,150.1617592438652,152.08943851032333,84923800,153.82743181501115,161.8061508178711,-0.9617789319063097
2022-09-09,154.77439880371094,155.21698869351633,152.19761681404773,152.90574262919617,68028800,153.6110556466239,161.8139612833659,1.883969958211007
2022-09-12,160.73448181152344,161.55079411768534,156.67260962248582,156.95781994289408,104956000,154.48357500348772,161.85151265462238,3.8508196794039717
2022-09-13,151.30262756347656,157.89211772902357,150.8403783347764,157.26267420589616,122656600,153.9047088623047,161.60740712483724,-5.867971913522963
2022-09-14,152.74839782714844,154.5088829319825,151.0764397160354,152.23697022602627,87965400,153.83445957728796,161.46060180664062,0.9555486821042347
2022-09-15,149.8568878173828,152.6795618131171,148.88322594006283,152.09928154477043,90481100,153.5309818812779,161.01705474853514,-1.8929887651179755
2022-09-16,148.21441650390625,148.85370468985187,145.92284471335466,148.71601438946803,162278800,152.7919464111328,160.52923482259115,-1.0960265740191377
2022-09-19,151.9320831298828,152.01076545240036,146.64082825286496,146.8473562182448,81474200,152.79475620814733,160.1728780110677,2.508302980013144
2022-09-20,154.31216430664062,155.4727097837978,150.5551772691551,150.86989154639073,107689800,152.72872270856584,159.91159362792968,1.5665428444913365
2022-09-21,151.1846160888672,156.121822780707,151.06660011449515,154.74490471552286,101696800,151.3644561767578,159.54441833496094,-2.026767126121398
2022-09-22,150.22079467773438,151.92225679396847,148.42097590441998,149.86673172221157,86652500,151.20990862165178,159.0034907023112,-0.6375128872677549
2022-09-23,147.9488983154297,148.97175363651883,146.1097456802274,148.69637297479187,96029900,150.5242658342634,158.4114201863607,-1.5123714178044034
2022-09-26,148.28326416015625,151.23378336075643,147.17189712565283,147.19157145564952,93339400,150.2994624546596,157.71214701334637,0.2260009020234044
2022-09-27,149.25692749023438,152.16811306913462,147.47678328794686,150.22077457787657,84442700,150.4483925955636,157.0095947265625,0.6566238850977069
2022-09-28,147.36859130859375,148.15539940831013,142.45105944426174,145.20488028971093,146691400,149.79646519252233,156.249343363444,-1.2651581493690944
